ConvertedComp,EdLevel,YearsCodePro,DevType,LanguageDesireNextYear,JobSat,Year
66000.0,Some college/university study without earning a degree,8.0,"Database administrator;Designer;Developer, back-end;Developer, front-end;Developer, mobile;Educator;System administrator",Go,Very satisfied,2019
87994.0,Associate degree,1.0,"Data or business analyst;Data scientist or machine learning specialist;Database administrator;Designer;Developer, back-end;Developer, desktop or enterprise applications;Developer, front-end;Developer, full-stack;Educator;Marketing or sales professional;Student;System administrator",Bash/Shell/PowerShell;C;C++;C#;HTML/CSS;Java;JavaScript;PHP;Python;Ruby;SQL;Swift,Slightly dissatisfied,2019
14964.0,"Bachelor’s degree (BA, BS, B.Eng., etc.)",2.0,System administrator,Bash/Shell/PowerShell;C++;C#;Rust;SQL,Slightly dissatisfied,2019
137490.0,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",25.0,"Data scientist or machine learning specialist;Developer, back-end;Developer, full-stack;Developer, QA or test;DevOps specialist;Engineer, data;Engineer, site reliability;Engineering manager;Product manager",Clojure;SQL,Very satisfied,2019
36265.0,"Bachelor’s degree (BA, BS, B.Eng., etc.)",2.0,Data or business analyst;Designer,C#;HTML/CSS;R;Rust;TypeScript,Very satisfied,2019
11194.0,"Bachelor’s degree (BA, BS, B.Eng., etc.)",7.0,"Developer, full-stack",Elixir;Go;HTML/CSS;Java;JavaScript;Kotlin;Python;R;Scala;TypeScript;WebAssembly,Slightly dissatisfied,2019
19284.0,"Professional degree (JD, MD, etc.)",2.0,"Developer, back-end;Developer, desktop or enterprise applications;Developer, game or graphics;Student",C++;C#;Java;SQL,Slightly satisfied,2019
75000.0,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",23.0,"Designer;Developer, full-stack;Educator",C#;HTML/CSS;JavaScript;Python;SQL;TypeScript,Slightly dissatisfied,2019
4128.0,"Bachelor’s degree (BA, BS, B.Eng., etc.)",0.5,"Developer, full-stack",C#;HTML/CSS;JavaScript;PHP;Ruby;SQL,Slightly satisfied,2019
110352.0,"Bachelor’s degree (BA, BS, B.Eng., etc.)",9.0,"Developer, full-stack",C#;HTML/CSS;JavaScript;SQL;TypeScript,Slightly satisfied,2019
114575.0,"Bachelor’s degree (BA, BS, B.Eng., etc.)",2.0,"Developer, back-end;Engineer, data;Engineer, site reliability;System administrator",Java;Kotlin;Python,Very satisfied,2019
17491.0,"Bachelor’s degree (BA, BS, B.Eng., etc.)",7.0,"Developer, front-end",HTML/CSS;Java;JavaScript;Python;TypeScript,Slightly dissatisfied,2019
39254.0,"Bachelor’s degree (BA, BS, B.Eng., etc.)",5.0,"Developer, back-end;Engineer, data",Python,Very satisfied,2019
100000.0,"Bachelor’s degree (BA, BS, B.Eng., etc.)",20.0,"Developer, front-end",HTML/CSS;JavaScript,Very satisfied,2019
7696.0,"Bachelor’s degree (BA, BS, B.Eng., etc.)",3.0,"Developer, full-stack",HTML/CSS;Java;JavaScript;Kotlin;Python,Neither satisfied nor dissatisfied,2019
143932.0,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",27.0,"Developer, back-end;DevOps specialist",Bash/Shell/PowerShell;C++;HTML/CSS;Java;JavaScript;SQL,Neither satisfied nor dissatisfied,2019
117540.0,"Bachelor’s degree (BA, BS, B.Eng., etc.)",0.5,"Developer, full-stack",Elixir;Go;HTML/CSS;JavaScript;Ruby;TypeScript;WebAssembly,Very satisfied,2019
3468.0,"Bachelor’s degree (BA, BS, B.Eng., etc.)",2.0,"Designer;Developer, mobile;Educator;Student",C#;Java;Kotlin;Objective-C,Slightly satisfied,2019
52704.0,"Bachelor’s degree (BA, BS, B.Eng., etc.)",14.0,"Developer, back-end;Engineer, data;Engineering manager;Product manager",Bash/Shell/PowerShell;C#;Elixir;F#;HTML/CSS;JavaScript;Python;SQL;TypeScript,Very satisfied,2019
16008.0,Some college/university study without earning a degree,3.0,"Developer, back-end;Developer, front-end;Educator",Bash/Shell/PowerShell;Go;HTML/CSS;JavaScript;Python;Rust;SQL,Slightly dissatisfied,2019
36060.0,"Bachelor’s degree (BA, BS, B.Eng., etc.)",8.0,"Developer, back-end;Developer, front-end",Go;HTML/CSS;JavaScript;Kotlin;Python,Slightly satisfied,2019
16788.0,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",2.0,"Developer, front-end;Developer, full-stack;System administrator",Bash/Shell/PowerShell;C#;JavaScript;Objective-C;Ruby;SQL;Swift;TypeScript,Very dissatisfied,2019
57287.0,"Bachelor’s degree (BA, BS, B.Eng., etc.)",3.0,"Developer, full-stack;Educator",HTML/CSS;Java;Kotlin;SQL,Very satisfied,2019
30252.0,"Bachelor’s degree (BA, BS, B.Eng., etc.)",2.0,Data or business analyst;Database administrator;Designer;Educator;Product manager,C#;Python;Other(s):,Very satisfied,2019
43180.0,Some college/university study without earning a degree,5.0,"Database administrator;Designer;Developer, back-end;Developer, desktop or enterprise applications;Developer, front-end;Developer, full-stack;Developer, game or graphics;Developer, QA or test;DevOps specialist;System administrator",Assembly;C;C++;C#;HTML/CSS;JavaScript;Objective-C;SQL,Slightly dissatisfied,2019
110000.0,"Bachelor’s degree (BA, BS, B.Eng., etc.)",8.0,"Developer, full-stack;DevOps specialist;Engineer, data",C#;JavaScript;Python;SQL,Very satisfied,2019
66750.0,"Bachelor’s degree (BA, BS, B.Eng., etc.)",6.0,"Data or business analyst;Data scientist or machine learning specialist;Developer, back-end;Educator;Engineer, data",Bash/Shell/PowerShell;JavaScript;Python;R;SQL,Slightly satisfied,2019
116000.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",13.0,"Developer, back-end;Developer, desktop or enterprise applications;Developer, game or graphics",JavaScript,Slightly dissatisfied,2020
32315.0,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",4.0,"Database administrator;Developer, full-stack;Developer, mobile",HTML/CSS;Java;JavaScript;Python;R;SQL,Very satisfied,2020
40070.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",2.0,"Developer, back-end;Developer, desktop or enterprise applications;Developer, embedded applications or devices;Developer, front-end",Go;JavaScript;Swift;TypeScript,Slightly dissatisfied,2020
14268.0,Some college/university study without earning a degree,7.0,"Designer;Developer, front-end",HTML/CSS;JavaScript,Very dissatisfied,2020
38916.0,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",20.0,"Designer;Developer, back-end",Python,Very satisfied,2020
66000.0,"Associate degree (A.A., A.S., etc.)",1.0,"Developer, desktop or enterprise applications;Developer, front-end",HTML/CSS;JavaScript;SQL;TypeScript,Slightly satisfied,2020
108576.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",23.0,"Database administrator;Developer, back-end;Developer, desktop or enterprise applications;Developer, full-stack;Developer, QA or test;DevOps specialist",Go,Very satisfied,2020
79000.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",3.0,"Developer, full-stack",C#;Go;Haskell;HTML/CSS;JavaScript;Python;Ruby;Rust;SQL,Slightly dissatisfied,2020
83400.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",3.0,"Developer, full-stack",C#;Go;Python;TypeScript,Slightly dissatisfied,2020
91883.0,"Professional degree (JD, MD, etc.)",20.0,"Developer, back-end",Bash/Shell/PowerShell;Go;Java;Julia;Kotlin;Python;SQL,Very satisfied,2020
71093.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",10.0,"Developer, full-stack",Go;Rust,Neither satisfied nor dissatisfied,2020
38778.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",2.0,"Data or business analyst;Database administrator;Developer, back-end;Developer, front-end;Developer, full-stack;System administrator",JavaScript;SQL;TypeScript,Slightly dissatisfied,2020
31764.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",10.0,"Developer, back-end;Developer, desktop or enterprise applications;Developer, front-end;Developer, full-stack;Developer, QA or test",C++;Python,Slightly satisfied,2020
63564.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",14.0,"Developer, front-end;Developer, full-stack;Developer, mobile",HTML/CSS;JavaScript;TypeScript,Slightly dissatisfied,2020
77556.0,Some college/university study without earning a degree,3.0,Data or business analyst;Data scientist or machine learning specialist,C#;Go;HTML/CSS;JavaScript;Python;SQL,Slightly satisfied,2020
97288.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",12.0,"Developer, full-stack;Engineering manager",JavaScript;Rust;TypeScript,Very satisfied,2020
106000.0,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",20.0,"Developer, back-end;Developer, front-end;Developer, full-stack",C;C#;Java;SQL,Slightly dissatisfied,2020
130000.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",10.0,"Developer, back-end;Developer, desktop or enterprise applications;Developer, front-end;Developer, full-stack;DevOps specialist",Bash/Shell/PowerShell;C#;Go;Java;Python;Rust,Very satisfied,2020
135000.0,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",29.0,"Developer, back-end;Developer, front-end;Developer, full-stack",Dart;HTML/CSS;Java;JavaScript;SQL,Very dissatisfied,2020
55893.0,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",6.0,"Data or business analyst;Developer, back-end;Product manager",HTML/CSS;Java;JavaScript;Python;R;SQL,Neither satisfied nor dissatisfied,2020
36753.0,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",2.0,"Developer, full-stack",Java;Python;Rust,Very satisfied,2020
37834.0,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",4.0,"Developer, back-end;Developer, desktop or enterprise applications;Developer, embedded applications or devices;Developer, game or graphics",C#;C++;Go;Python,Slightly satisfied,2020
74970.0,"Other doctoral degree (Ph.D., Ed.D., etc.)",28.0,"Data scientist or machine learning specialist;Developer, back-end;Developer, QA or test;Engineer, data;Scientist",Bash/Shell/PowerShell;Java;Python;SQL,Very satisfied,2020
125000.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",8.0,"Developer, back-end",JavaScript;Ruby;SQL,Slightly dissatisfied,2020
52000.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",4.0,"Developer, back-end;Developer, desktop or enterprise applications;Developer, front-end;Developer, full-stack",C#;HTML/CSS;JavaScript;Python;TypeScript,Very satisfied,2020
90482.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",6.0,"Developer, mobile",Java;Kotlin,Very satisfied,2020
160000.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",23.0,"Developer, full-stack",C#;HTML/CSS;JavaScript,Very satisfied,2020
16488.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",15.0,"Data or business analyst;Developer, back-end;Developer, front-end;Developer, full-stack;Developer, QA or test",C#;HTML/CSS;JavaScript;SQL;TypeScript,Slightly satisfied,2020
94359.0,Some college/university study without earning a degree,13.0,"Developer, back-end;Developer, full-stack;Educator",HTML/CSS;JavaScript;Perl;SQL;TypeScript,Very satisfied,2020
250000.0,"Professional degree (JD, MD, etc.)",15.0,"Developer, full-stack;Product manager;Senior executive/VP",Rust,Very satisfied,2020
124092.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",11.0,"Database administrator;Developer, back-end;Developer, desktop or enterprise applications;Developer, embedded applications or devices;Developer, front-end;Developer, full-stack;Developer, game or graphics;DevOps specialist;Educator",Kotlin;Python;Swift,Neither satisfied nor dissatisfied,2020
94500.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",7.0,DevOps specialist,Bash/Shell/PowerShell;C#;Dart;Go;TypeScript,Very satisfied,2020
117000.0,"Associate degree (A.A., A.S., etc.)",25.0,"Developer, back-end;Developer, full-stack;Developer, mobile",C#,Slightly satisfied,2020
3036.0,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",0.5,"Developer, back-end",C;JavaScript;Python;Ruby;Scala;TypeScript,Very satisfied,2020
108100.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",3.0,"Developer, back-end;Developer, front-end;Developer, full-stack;Developer, mobile;Senior executive/VP",Go;HTML/CSS;JavaScript;R,Very dissatisfied,2020
130000.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",2.0,"Developer, front-end;Developer, full-stack",Go;HTML/CSS;JavaScript;Ruby,Very satisfied,2020
61476.0,Some college/university study without earning a degree,2.0,Designer,HTML/CSS;JavaScript;Ruby;TypeScript,Very satisfied,2020
57292.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",10.0,"Developer, back-end;Developer, full-stack;DevOps specialist;System administrator",Bash/Shell/PowerShell;Go;PHP;SQL,Neither satisfied nor dissatisfied,2020
21620.0,"Other doctoral degree (Ph.D., Ed.D., etc.)",15.0,"Academic researcher;Database administrator;Developer, back-end;Developer, desktop or enterprise applications;Developer, embedded applications or devices;Developer, front-end;Developer, full-stack;Developer, game or graphics;Developer, mobile;Educator;Scientist;System administrator",Assembly;Bash/Shell/PowerShell;C++;HTML/CSS;Java;JavaScript;Objective-C;PHP;SQL,Slightly satisfied,2020
71850.0,Some college/university study without earning a degree,25.0,"Developer, full-stack",HTML/CSS;JavaScript,Very satisfied,2020
35028.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",2.0,"Designer;Developer, back-end;Developer, front-end;Developer, full-stack;Educator",Bash/Shell/PowerShell;HTML/CSS;JavaScript,Very dissatisfied,2020
75631.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",4.0,"Developer, back-end",Bash/Shell/PowerShell;Go;Java;Rust,Slightly dissatisfied,2020
41568.0,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",5.0,"Developer, desktop or enterprise applications;Engineering manager",C++;Python,Slightly satisfied,2020
79413.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",9.0,"Developer, back-end;Developer, front-end;Developer, full-stack;Developer, mobile",Python;TypeScript,Very dissatisfied,2020
93000.0,"Associate degree (A.A., A.S., etc.)",11.0,"Developer, back-end;Developer, desktop or enterprise applications;Developer, full-stack",C#;JavaScript,Very satisfied,2020
